ATL	547626	325093	204154
BOS	300928	192567	245178
BWI	447531	453397	473148
CLT	392192	432025	409982
DCA	675343	205017	422997
DEN	322273	414009	547705
DFW	250437	859271	349275
DTW	885310	371901	297535
EWR	574894	415406	433778
FLL	410721	408842	450711
HNL	411795	222271	225357
IAD	191935	251692	417902
IAH	481203	366247	329874
JFK	446974	332454	367937
LAS	391820	543665	537411
LAX	290421	702912	706513
LGA	222438	452158	300947
MCO	877009	454199	375311
MDW	310379	312300	663524
MEM	531533	293860	394807
MIA	323820	305531	335267
MSP	434928	441039	267692
ORD	201267	393713	462645
PHL	253043	298125	221821
PHX	670745	584240	311212
SAN	427414	655525	893497
SEA	396438	552055	431397
SFO	295755	400740	889724
SLC	369741	257525	594522
TPA	392005	884734	456377
